refnis,pop_densit,Distance T,nb_poi_sco,score_pent,score_dens,score_tram,score_bus_score_bus,score_imat_score_imat,score_moyen,score_ecart_type,classements_1ers,frequence_1ere_place
62063,2845.5281532939503,4,5,2,5,1,4,2,3.5549937149878534,0.08964455839499022,0.0,0.0
53083,116.283939358332,2,1,4,1,1,2,5,2.258241720967368,0.08894172804261694,0.0,0.0
45062,181.020772222523,2,1,4,2,1,2,3,2.0406186598531675,0.053864911236543925,0.0,0.0
44013,715.114617928381,3,3,4,4,1,3,2,2.8493154276304846,0.058293481860973426,0.0,0.0
36019,248.615887279321,2,2,5,2,1,2,3,2.2944212587432653,0.060382166600251905,0.0,0.0
25119,300.90917964732097,2,2,3,3,1,2,5,2.6884894064067444,0.07402307045376265,0.0,0.0
24016,273.826616660046,5,2,4,2,1,3,2,2.6631176358003636,0.07776330742782277,0.0,0.0
23103,2128.22435167684,3,2,4,5,4,4,2,3.2533780379047976,0.06510264145649151,0.0,0.0
23052,480.732517121421,3,3,4,3,1,2,2,2.538461049782323,0.0508758443880548,0.0,0.0
21017,1958.03246731215,3,4,2,5,4,3,2,3.337088913903781,0.061130319238416886,0.0,0.0
11055,579.735125646415,1,3,3,3,1,2,3,2.3467027147636523,0.054277862464943566,0.0,0.0
82037,33.159216703464,3,2,2,1,1,1,5,2.310806188484712,0.08534400272472188,0.0,0.0
82003,97.0085723444043,1,3,3,1,1,2,4,2.222549186804959,0.06958264619260325,0.0,0.0
81001,262.240293749445,4,4,2,2,1,3,4,3.119737256089137,0.06912218359361637,0.0,0.0
11052,1018.19318041452,2,2,4,5,3,3,4,3.221890325992544,0.06327806538156994,0.0,0.0
11004,666.700631086281,4,2,4,4,3,3,2,3.0047845762024137,0.0501395112626515,0.0,0.0
62079,711.835930712456,3,4,4,4,1,3,4,3.4089636309094336,0.06356479455779018,0.0,0.0
61012,60.9553645223879,1,1,3,1,1,2,5,2.035585530558918,0.08719840015573156,0.0,0.0
31043,530.0055984631799,4,4,5,3,3,1,4,3.351836661685662,0.0691970612493382,0.0,0.0
73107,519.379887428307,1,4,4,3,1,2,3,2.6005053136537613,0.07012539310433803,0.0,0.0
63076,143.415261717399,3,3,1,1,1,2,5,2.5859781347406683,0.08430005955491937,0.0,0.0
63035,313.900153994398,2,3,3,3,1,3,5,3.030748848398605,0.07117972485677568,0.0,0.0
63012,36.5692022209518,1,2,2,1,1,1,5,1.9996687991395852,0.08548262617296967,0.0,0.0
56016,48.92257396425,1,2,3,1,1,2,4,2.0358340836507667,0.06525759124195198,0.0,0.0
42011,729.783655864135,3,3,5,4,1,3,2,2.9164029233663804,0.06631478385901689,0.0,0.0
37017,456.919617056367,3,2,5,3,1,2,4,2.7917665424887477,0.06973289558336783,0.0,0.0
23077,886.506293255357,3,4,4,4,1,3,2,3.0360305307846973,0.06407495438675058,0.0,0.0
23064,127.114110562501,2,1,4,1,1,3,2,1.8543864096179088,0.058059263269286045,0.0,0.0
71053,386.050561971823,4,4,4,3,1,3,3,3.222755736509099,0.06022671065051349,0.0,0.0
21006,8635.40839403453,5,4,4,5,4,5,1,3.907023422333656,0.08224145283728604,0.0,0.0
13004,492.9381048971,2,2,4,3,1,2,3,2.3826438020179093,0.05018318725444014,0.0,0.0
