refnis,pop_densit,Distance T,nb_poi_sco,score_pent,score_dens,score_tram,score_bus_score_bus,score_imat_score_imat,score_moyen,score_ecart_type,classements_1ers,frequence_1ere_place
62063,2845.5281532939503,4,5,2,5,1,4,2,3.570827177746204,0.09904330924971631,0.0,0.0
53083,116.283939358332,2,1,4,1,1,2,5,2.089670160437658,0.074219600752435,0.0,0.0
45062,181.020772222523,2,1,4,2,1,2,3,2.0510473283103465,0.054481200583930835,0.0,0.0
44013,715.114617928381,3,3,4,4,1,3,2,2.931575702769445,0.06880087853929388,0.0,0.0
36019,248.615887279321,2,2,5,2,1,2,3,2.2486912495379934,0.0695789582463067,0.0,0.0
25119,300.90917964732097,2,2,3,3,1,2,5,2.505386568617628,0.06297430860566415,0.0,0.0
24016,273.826616660046,5,2,4,2,1,3,2,2.8161275140302773,0.0900410187747736,0.0,0.0
23103,2128.22435167684,3,2,4,5,4,4,2,3.539597331981782,0.05865629067814469,0.0,0.0
23052,480.732517121421,3,3,4,3,1,2,2,2.5492479086372737,0.05978108999380624,0.0,0.0
21017,1958.03246731215,3,4,2,5,4,3,2,3.414309391211524,0.06309921123631132,0.0,0.0
11055,579.735125646415,1,3,3,3,1,2,3,2.1991671107134647,0.05908365753984602,0.0,0.0
82037,33.159216703464,3,2,2,1,1,1,5,2.0405145244449074,0.071985573688182,0.0,0.0
82003,97.0085723444043,1,3,3,1,1,2,4,1.9312820452781212,0.061448423206114676,0.0,0.0
81001,262.240293749445,4,4,2,2,1,3,4,2.9204420510375253,0.07593891011240274,0.0,0.0
11052,1018.19318041452,2,2,4,5,3,3,4,3.273836303898738,0.06848720642078002,0.0,0.0
11004,666.700631086281,4,2,4,4,3,3,2,3.2349811267367095,0.044033105458904036,0.0,0.0
62079,711.835930712456,3,4,4,4,1,3,4,3.276878699600563,0.07303563263156203,0.0,0.0
61012,60.9553645223879,1,1,3,1,1,2,5,1.815893934432506,0.06734399319955864,0.0,0.0
31043,530.0055984631799,4,4,5,3,3,1,4,3.2047367775304494,0.07937127575948605,0.0,0.0
73107,519.379887428307,1,4,4,3,1,2,3,2.3968110319411244,0.07345823591877113,0.0,0.0
63076,143.415261717399,3,3,1,1,1,2,5,2.2641657637590415,0.07474182224133177,0.0,0.0
63035,313.900153994398,2,3,3,3,1,3,5,2.8114658854549397,0.06615452396782348,0.0,0.0
63012,36.5692022209518,1,2,2,1,1,1,5,1.6578182274809472,0.0615300752870633,0.0,0.0
56016,48.92257396425,1,2,3,1,1,2,4,1.8160662015736495,0.057340714567446285,0.0,0.0
42011,729.783655864135,3,3,5,4,1,3,2,3.014003780292628,0.07790408541231582,0.0,0.0
37017,456.919617056367,3,2,5,3,1,2,4,2.7465472955826526,0.07532521584760773,0.0,0.0
23077,886.506293255357,3,4,4,4,1,3,2,3.046791546473923,0.07113598129024909,0.0,0.0
23064,127.114110562501,2,1,4,1,1,3,2,1.9354029038805263,0.06666323181255517,0.0,0.0
71053,386.050561971823,4,4,4,3,1,3,3,3.1617189505198846,0.07062779302440708,0.0,0.0
21006,8635.40839403453,5,4,4,5,4,5,1,4.228545212924166,0.06086876129915488,0.0,0.0
13004,492.9381048971,2,2,4,3,1,2,3,2.3577274930141363,0.05796203048796027,0.0,0.0
63073,85.12034374571141,2,2,1,1,1,1,4,1.651694721876427,0.049952563901167174,0.0,0.0
11018,2208.76708099524,4,2,4,5,1,4,2,3.3900358016791454,0.09251916628882069,0.0,0.0
11009,332.230199765612,3,3,4,3,1,2,3,2.664291485200605,0.060366167155852066,0.0,0.0
91054,30.9185513643903,2,2,2,1,1,1,4,1.7341227993996071,0.049612473960268404,0.0,0.0
85007,46.2377109299671,1,3,2,1,1,1,5,1.7730340711854158,0.06656859311046597,0.0,0.0
56029,46.832037953155,1,1,3,1,1,1,5,1.6250304612996649,0.06735278762736473,0.0,0.0
55085,180.650420548534,2,2,4,2,1,2,5,2.3963503251414693,0.0672210259927383,0.0,0.0
46003,329.437536884478,2,4,5,3,3,2,3,2.8978603771360043,0.06048492648037189,0.0,0.0
41027,390.670060002663,3,2,4,3,1,3,2,2.6248955380656485,0.05926437812163121,0.0,0.0
37018,219.42819163914805,1,3,5,2,1,1,3,1.981695471627651,0.08280094673836852,0.0,0.0
33041,93.6083997971982,2,1,5,1,1,1,2,1.6361040351380227,0.07825032840500366,0.0,0.0
23104,303.014705546882,2,3,4,3,1,3,2,2.548763233288155,0.05990636551917334,0.0,0.0
23024,234.44520238778003,2,2,4,2,1,3,3,2.357126645147668,0.05804616278535553,0.0,0.0
13003,319.341355576927,2,3,4,3,1,2,3,2.4729433367186204,0.05931865330782154,0.0,0.0
11024,908.556349589996,3,4,4,4,1,3,4,3.276878699600563,0.07303563263156203,0.0,0.0
92114,235.123604434267,2,2,4,2,1,2,4,2.2813067485781504,0.05862792979118728,0.0,0.0
58002,549.623851737949,4,4,4,3,1,3,4,3.2767625270832355,0.07299314079584401,0.0,0.0
53065,1694.68058000969,3,3,4,5,1,3,3,3.2380836003321285,0.08452970641766568,0.0,0.0
73006,429.64304867515904,4,3,4,3,1,3,3,3.0465031068154067,0.06806194222669211,0.0,0.0
24066,329.302079015582,2,3,4,3,1,3,4,2.778850386414802,0.06462960190826944,0.0,0.0
72037,330.623870183595,3,2,4,3,1,2,4,2.6641192180594415,0.06361106976581689,0.0,0.0
85047,76.20095155448871,3,1,2,1,1,2,4,2.0011185773099527,0.059237201630773326,0.0,0.0
52015,702.954944179327,3,3,4,4,1,3,4,3.1616628558960955,0.07060494505049542,0.0,0.0
52011,1979.4986938135296,4,5,3,5,4,4,2,3.9941649340539755,0.047889622581108515,0.0,0.0
51068,122.78764230169,2,2,4,1,1,2,4,2.0898424275788106,0.06541001480854523,0.0,0.0
51008,229.489159443797,3,2,4,2,1,3,4,2.6635183701929677,0.06374665060715103,0.0,0.0
42026,515.583911712721,5,3,5,3,1,3,2,3.2052357562572515,0.09169438974781004,0.0,0.0
41082,605.695103203698,3,3,4,4,1,3,3,3.0466192793327833,0.06816023409165793,0.0,0.0
38016,345.303649537797,2,3,5,3,3,1,3,2.591781060298703,0.0739704886020544,0.0,0.0
31022,302.023033899003,3,3,4,3,1,2,3,2.664291485200605,0.060366167155852066,0.0,0.0
31003,222.73600060534,3,3,4,2,1,2,3,2.472827164201266,0.058970730190270715,0.0,0.0
92048,165.120442907589,2,2,3,2,1,2,5,2.3139222476182866,0.05808385866200925,0.0,0.0
57027,331.090343277286,2,2,5,3,1,3,4,2.746062620233503,0.07578102051641813,0.0,0.0
34027,1034.93232820484,3,5,4,5,1,3,2,3.353471711177713,0.09064590186384529,0.0,0.0
73009,223.198441262364,2,2,4,2,1,2,3,2.1662631720148195,0.05275211937152211,0.0,0.0
25091,1316.33511802142,4,3,3,5,1,4,4,3.652910720987074,0.08987421392735863,0.0,0.0
25068,446.527658652703,3,2,3,3,1,3,4,2.772554613669112,0.056993589856965156,0.0,0.0
24086,370.239682170479,3,2,3,3,1,2,2,2.351603987409636,0.050514003738674866,0.0,0.0
21005,15612.7675755475,5,5,3,5,5,4,1,4.184106065567504,0.06734399319955858,0.0,0.0
92140,410.218441906128,4,3,3,3,1,3,4,3.0791186058555664,0.06756709217902349,0.0,0.0
63061,152.707445043483,2,3,3,2,1,2,4,2.3140945147594327,0.05052582177223638,0.0,0.0
63045,39.386736918657,2,2,1,1,1,2,5,1.957601771572593,0.06223053728023781,0.0,0.0
53070,335.268668712932,2,4,4,3,1,3,4,2.8940662301192623,0.06851752019274861,0.0,0.0
53039,257.340488840161,3,2,5,2,1,2,4,2.5550829745833004,0.07527171100611954,0.0,0.0
