refnis,pop_densit,Distance T,nb_poi_sco,score_pent,score_dens,score_tram,score_bus_score_bus,score_imat_score_imat,score_moyen,score_ecart_type,classements_1ers,frequence_1ere_place
62063,2845.5281532939503,4,5,2,5,1,4,2,3.405477234989601,0.09193144193328776,0.0,0.0
53083,116.283939358332,2,1,4,1,1,2,5,2.3891827358489914,0.09407220650181859,0.0,0.0
45062,181.020772222523,2,1,4,2,1,2,3,2.0459143326319436,0.05928047830241548,0.0,0.0
44013,715.114617928381,3,3,4,4,1,3,2,2.731184670877709,0.05774668952727883,0.0,0.0
36019,248.615887279321,2,2,5,2,1,2,3,2.3255520300704977,0.06608252365978111,0.0,0.0
25119,300.90917964732097,2,2,3,3,1,2,5,2.6579189739395392,0.08148689116449649,0.0,0.0
24016,273.826616660046,5,2,4,2,1,3,2,2.7316667630858285,0.08314443993203287,0.0,0.0
23103,2128.22435167684,3,2,4,5,4,4,2,3.07404944110416,0.060874209310125486,0.0,0.0
23052,480.732517121421,3,3,4,3,1,2,2,2.4913043899810763,0.05509351157959642,0.0,0.0
21017,1958.03246731215,3,4,2,5,4,3,2,3.1655890167153236,0.054859546057917284,0.0,0.0
11055,579.735125646415,1,3,3,3,1,2,3,2.2797924921062926,0.057479223855349364,0.0,0.0
82037,33.159216703464,3,2,2,1,1,1,5,2.446896183518598,0.09021624550562199,0.0,0.0
82003,97.0085723444043,1,3,3,1,1,2,4,2.348400383878199,0.0725220999732636,0.0,0.0
81001,262.240293749445,4,4,2,2,1,3,4,3.234678389545483,0.07425434181663289,0.0,0.0
11052,1018.19318041452,2,2,4,5,3,3,4,3.0403002597626734,0.055659107040213915,0.0,0.0
11004,666.700631086281,4,2,4,4,3,3,2,2.903016709960545,0.0504457839035369,0.0,0.0
62079,711.835930712456,3,4,4,4,1,3,4,3.3486400418593125,0.06907825576759241,0.0,0.0
61012,60.9553645223879,1,1,3,1,1,2,5,2.1433711663520176,0.09403102540396895,0.0,0.0
31043,530.0055984631799,4,4,5,3,3,1,4,3.389033423145183,0.07601301465062141,0.0,0.0
73107,519.379887428307,1,4,4,3,1,2,3,2.5594301895448512,0.07675391757686248,0.0,0.0
63076,143.415261717399,3,3,1,1,1,2,5,2.749460082832493,0.08782009332853379,0.0,0.0
63035,313.900153994398,2,3,3,3,1,3,5,3.034617809485195,0.07941939799058771,0.0,0.0
63012,36.5692022209518,1,2,2,1,1,1,5,2.103542916988166,0.09192397862065456,0.0,0.0
56016,48.92257396425,1,2,3,1,1,2,4,2.1428976226714034,0.06885229498236002,0.0,0.0
42011,729.783655864135,3,3,5,4,1,3,2,2.8053196071094653,0.06805128198213167,0.0,0.0
37017,456.919617056367,3,2,5,3,1,2,4,2.771889174780867,0.0766317999371673,0.0,0.0
23077,886.506293255357,3,4,4,4,1,3,2,2.936687432084506,0.06656658259082468,0.0,0.0
23064,127.114110562501,2,1,4,1,1,3,2,1.942449895525666,0.060307174266779576,0.0,0.0
71053,386.050561971823,4,4,4,3,1,3,3,3.2456561636793593,0.0670261733860229,0.0,0.0
21006,8635.40839403453,5,4,4,5,4,5,1,3.793627999499621,0.08684217090134173,0.0,0.0
13004,492.9381048971,2,2,4,3,1,2,3,2.320101300396491,0.05331629226234113,0.0,0.0
63073,85.12034374571141,2,2,1,1,1,1,4,1.9951083091342101,0.06803277666595818,0.0,0.0
11018,2208.76708099524,4,2,4,5,1,4,2,2.9372388238327614,0.07927556193607417,0.0,0.0
11009,332.230199765612,3,3,4,3,1,2,3,2.6972806948684775,0.05599495074876819,0.0,0.0
91054,30.9185513643903,2,2,2,1,1,1,4,2.069243245365977,0.0658710885718547,0.0,0.0
85007,46.2377109299671,1,3,2,1,1,1,5,2.309045678194955,0.09549284448863112,0.0,0.0
56029,46.832037953155,1,1,3,1,1,1,5,1.9721750920131471,0.09698154580065739,0.0,0.0
55085,180.650420548534,2,2,4,2,1,2,5,2.663369703613533,0.08571969470755714,0.0,0.0
46003,329.437536884478,2,4,5,3,3,2,3,3.010899926066215,0.05925583512161985,0.0,0.0
41027,390.670060002663,3,2,4,3,1,3,2,2.456997703113165,0.054602182310033644,0.0,0.0
37018,219.42819163914805,1,3,5,2,1,1,3,2.188182083673206,0.08202765426292995,0.0,0.0
33041,93.6083997971982,2,1,5,1,1,1,2,1.6741926830796765,0.07155363723192446,0.0,0.0
23104,303.014705546882,2,3,4,3,1,3,2,2.4908238310547466,0.05498958991332259,0.0,0.0
23024,234.44520238778003,2,2,4,2,1,3,3,2.4226131681775995,0.05524114255438929,0.0,0.0
13003,319.341355576927,2,3,4,3,1,2,3,2.5256040616032687,0.05592506130188754,0.0,0.0
11024,908.556349589996,3,4,4,4,1,3,4,3.3486400418593125,0.06907825576759241,0.0,0.0
92114,235.123604434267,2,2,4,2,1,2,4,2.4573933987261327,0.06689824893206657,0.0,0.0
58002,549.623851737949,4,4,4,3,1,3,4,3.451632468566762,0.0710664662332853,0.0,0.0
53065,1694.68058000969,3,3,4,5,1,3,3,3.005845182322868,0.061292162066928314,0.0,0.0
73006,429.64304867515904,4,3,4,3,1,3,3,3.0401534024725745,0.06157287273136473,0.0,0.0
24066,329.302079015582,2,3,4,3,1,3,4,2.902776440829545,0.06622062977142912,0.0,0.0
72037,330.623870183595,3,2,4,3,1,2,4,2.6977542385491033,0.06730224401260212,0.0,0.0
85047,76.20095155448871,3,1,2,1,1,2,4,2.2066131917632874,0.0703298993632781,0.0,0.0
52015,702.954944179327,3,3,4,4,1,3,4,3.143137280652511,0.0641722855086167,0.0,0.0
52011,1979.4986938135296,4,5,3,5,4,4,2,3.788099421757977,0.061098716963375335,0.0,0.0
51068,122.78764230169,2,2,4,1,1,2,4,2.3887091921683843,0.06893068427814536,0.0,0.0
51008,229.489159443797,3,2,4,2,1,3,4,2.8002661063302154,0.06621097618255725,0.0,0.0
42026,515.583911712721,5,3,5,3,1,3,2,3.0799886670821435,0.08644043992731645,0.0,0.0
41082,605.695103203698,3,3,4,4,1,3,3,2.937160975765109,0.05622162517958115,0.0,0.0
38016,345.303649537797,2,3,5,3,3,1,3,2.634201090520563,0.06649711330399755,0.0,0.0
31022,302.023033899003,3,3,4,3,1,2,3,2.6972806948684775,0.05599495074876819,0.0,0.0
31003,222.73600060534,3,3,4,2,1,2,3,2.628596488310744,0.05603890509428244,0.0,0.0
92048,165.120442907589,2,2,3,2,1,2,5,2.589234767381772,0.08129069604312034,0.0,0.0
57027,331.090343277286,2,2,5,3,1,3,4,2.771408615854524,0.07695488654458073,0.0,0.0
34027,1034.93232820484,3,5,4,5,1,3,2,3.2108743998490525,0.08480169228749962,0.0,0.0
73009,223.198441262364,2,2,4,2,1,2,3,2.2514170938387172,0.05228676183021292,0.0,0.0
25091,1316.33511802142,4,3,3,5,1,4,4,3.480559258582573,0.07347969787283187,0.0,0.0
25068,446.527658652703,3,2,3,3,1,3,4,2.794815376656211,0.06130605871864344,0.0,0.0
24086,370.239682170479,3,2,3,3,1,2,2,2.211666692542524,0.04277383197619017,0.0,0.0
21005,15612.7675755475,5,5,3,5,5,4,1,3.856628833647973,0.09403102540396897,0.0,0.0
92140,410.218441906128,4,3,3,3,1,3,4,3.1719947711282033,0.06534568717046445,0.0,0.0
63061,152.707445043483,2,3,3,2,1,2,4,2.588761223701166,0.06209603601487807,0.0,0.0
63045,39.386736918657,2,2,1,1,1,2,5,2.3722806883604957,0.08557379703110705,0.0,0.0
53070,335.268668712932,2,4,4,3,1,3,4,3.1082792020363517,0.07292714187309866,0.0,0.0
